Entity,Code,Year,General government final consumption expenditure (constant 2015 US$),GDP (constant 2015 US$),World regions according to OWID
France,FRA,1960,108471759973.0,521063228394.0,
France,FRA,1961,115230391031.0,547012759973.0,
France,FRA,1962,123318134432.0,584447414017.0,
France,FRA,1963,130124431717.0,620879995295.0,
France,FRA,1964,138111300092.0,662181550405.0,
France,FRA,1965,144669289391.0,694373557438.0,
France,FRA,1966,151477803706.0,730840925163.0,
France,FRA,1967,159643143442.0,766806695424.0,
France,FRA,1968,166644539805.0,801246352672.0,
France,FRA,1969,176763087225.0,858210764567.0,
France,FRA,1970,186153338291.0,910636112294.0,
France,FRA,1971,197881453177.0,959053168957.0,
France,FRA,1972,207081040333.0,1002319594950.0,
France,FRA,1973,220539550414.0,1065911376205.0,
France,FRA,1974,231306580826.0,1111755362632.0,
France,FRA,1975,244217484163.0,1101083792491.0,
France,FRA,1976,254119870069.0,1149055358647.0,
France,FRA,1977,262091219798.0,1188862221373.0,
France,FRA,1978,278941793711.0,1236161624649.0,
France,FRA,1979,288355323800.0,1280045228283.0,
France,FRA,1980,297418562916.0,1300253881649.0,
France,FRA,1981,306019550116.0,1314153853595.0,
France,FRA,1982,319389379050.0,1347078619777.0,
France,FRA,1983,327703259818.0,1363794045035.0,
France,FRA,1984,334723500702.0,1384438090121.0,
France,FRA,1985,344441873895.0,1406904493488.0,
France,FRA,1986,353549453585.0,1439787739478.0,
France,FRA,1987,363429669205.0,1476673666392.0,
France,FRA,1988,376131063222.0,1546714398124.0,
France,FRA,1989,381332226656.0,1613901522615.0,
France,FRA,1990,393581344386.0,1661090955411.0,
France,FRA,1991,407387929742.0,1678502109603.0,
France,FRA,1992,420691247817.0,1705347110174.0,
France,FRA,1993,435504366625.0,1694626166709.0,
France,FRA,1994,437021927290.0,1734592373238.0,
France,FRA,1995,437025252500.0,1771133801947.0,
France,FRA,1996,447206986014.0,1796159810500.0,
France,FRA,1997,451765210028.0,1838123429815.0,
France,FRA,1998,448693508057.0,1904087419529.0,
France,FRA,1999,455724834084.0,1969233367607.0,
France,FRA,2000,463938948562.0,2046499571261.0,
France,FRA,2001,468738828921.0,2087096421588.0,
France,FRA,2002,477172430567.0,2110796058518.0,
France,FRA,2003,486390861690.0,2128171303325.0,
France,FRA,2004,497001590582.0,2188393293109.0,
France,FRA,2005,503276907840.0,2224791087607.0,
France,FRA,2006,510036647302.0,2279283420792.0,
France,FRA,2007,519308287335.0,2334550031985.0,
France,FRA,2008,525211143334.0,2340501872979.0,
France,FRA,2009,537860435736.0,2273251909006.0,
France,FRA,2010,544748763304.0,2317567536989.0,
France,FRA,2011,550480907431.0,2368384855035.0,
France,FRA,2012,559282535613.0,2375801091055.0,
France,FRA,2013,567525471907.0,2389493466482.0,
France,FRA,2014,574932585512.0,2412341398046.0,
France,FRA,2015,580719046953.0,2439188643162.0,
France,FRA,2016,588893254471.0,2465909086487.0,
France,FRA,2017,596890099696.0,2522413420333.0,
France,FRA,2018,601661159348.0,2569458097202.0,
France,FRA,2019,607724749371.0,2616812485718.0,
France,FRA,2020,582888415375.0,2419492808873.0,
France,FRA,2021,621265290178.0,2575192242890.0,
France,FRA,2022,636817790595.0,2638406985036.0,
France,FRA,2023,,,Europe
